job_title,category,salary
Grants Coordinator,Accounting and Finance,57900
Group Financial Manager,Accounting and Finance,215100
Internal Auditor,Accounting and Finance,95620
Internal Control Adviser,Accounting and Finance,112460
Internal Control Officer,Accounting and Finance,64620
International Tax Director,Accounting and Finance,180500
Inventory Accountant,Accounting and Finance,76440
Investment Advisor,Accounting and Finance,192000
Investment Analyst,Accounting and Finance,152100
Investment Associate,Accounting and Finance,117440
Investment Broker,Accounting and Finance,124400
Investment Fund Manager,Accounting and Finance,169000
Investment Operations Manager,Accounting and Finance,159500
Investment Underwriter,Accounting and Finance,64040
Investor,Accounting and Finance,97840
Investor Relations Manager,Accounting and Finance,148300
KYC Team Leader,Accounting and Finance,138200
Loan Processor,Accounting and Finance,57440
Management Accountant,Accounting and Finance,78620
Management Economist,Accounting and Finance,172200
Paymaster,Accounting and Finance,61400
Payroll Administrator,Accounting and Finance,92880
Payroll Benefits Coordinator,Accounting and Finance,81960
Payroll Billing Manager,Accounting and Finance,130400
Payroll Clerk,Accounting and Finance,64920
Payroll Manager,Accounting and Finance,134600
Payroll Officer,Accounting and Finance,62100
Payroll Specialist,Accounting and Finance,78160
Payroll Supervisor,Accounting and Finance,90900
Pensions Administrator,Accounting and Finance,79600
Personal Financial Advisor,Accounting and Finance,108340
Pricing Analyst,Accounting and Finance,119900
Private Equity Analyst,Accounting and Finance,127700
Project Accountant,Accounting and Finance,77640
Proposal Development Coordinator,Accounting and Finance,64920
Receivables Accountant,Accounting and Finance,69240
Regulatory Accountant,Accounting and Finance,82520
Retirement Plan Analyst,Accounting and Finance,112000
Revenue Management Specialist,Accounting and Finance,127700
Revenue Recognition Analyst,Accounting and Finance,130400
Risk Management Director,Accounting and Finance,183600
Risk Management Supervisor,Accounting and Finance,148300
Staff Accountant,Accounting and Finance,67300
Tax Accountant,Accounting and Finance,69240
Tax Administrator,Accounting and Finance,80640
Tax Advisor,Accounting and Finance,113220
Tax Analyst,Accounting and Finance,111240
Tax Associate,Accounting and Finance,62420
Tax Consultant,Accounting and Finance,123400
Tax Director,Accounting and Finance,172200
Tax Examiner,Accounting and Finance,74560
Tax Manager,Accounting and Finance,148300
Tax Research Manager,Accounting and Finance,157600
Teller,Accounting and Finance,45580
Treasury Accountant,Accounting and Finance,75980
Treasury Analyst,Accounting and Finance,119900
Underwriter,Accounting and Finance,50540
Underwriting Assistant,Accounting and Finance,48160
Vice President of Finance,Accounting and Finance,194600
Accreditation Specialist,Administration / Reception / Secretarial,112000
Admin Clerk,Administration / Reception / Secretarial,37740
Admin Executive,Administration / Reception / Secretarial,56460
Administrative Aide,Administration / Reception / Secretarial,42400
Administrative Analyst,Administration / Reception / Secretarial,74940
Administrative Assistant,Administration / Reception / Secretarial,55820
Administrative Associate,Administration / Reception / Secretarial,56880
Administrative Coordinator,Administration / Reception / Secretarial,51340
Administrative Manager,Administration / Reception / Secretarial,83300
Administrative Officer,Administration / Reception / Secretarial,54460
Administrative Receptionist,Administration / Reception / Secretarial,48740
Administrative Secretary,Administration / Reception / Secretarial,46880
Administrative Specialist,Administration / Reception / Secretarial,51400
Administrative Support,Administration / Reception / Secretarial,48920
Administrative Technician,Administration / Reception / Secretarial,40600
Board Secretary,Administration / Reception / Secretarial,50080
Branch Office Administrator,Administration / Reception / Secretarial,84800
Business Administrator,Administration / Reception / Secretarial,83900
Business Office Manager,Administration / Reception / Secretarial,136200
Central Office Operator,Administration / Reception / Secretarial,49020
Clerical Assistant,Administration / Reception / Secretarial,31180
Clerk,Administration / Reception / Secretarial,34280
Commercial Administrator,Administration / Reception / Secretarial,77100
Commissions Processor,Administration / Reception / Secretarial,67360
Conveyancing Secretary,Administration / Reception / Secretarial,47180
Corporate Receptionist,Administration / Reception / Secretarial,53660
Creditors Clerk,Administration / Reception / Secretarial,50540
Data Entry Clerk,Administration / Reception / Secretarial,35000
Data Entry Specialist,Administration / Reception / Secretarial,53660
Document Controller,Administration / Reception / Secretarial,44540
Document Management Specialist,Administration / Reception / Secretarial,67320
Executive Administrative Assistant,Administration / Reception / Secretarial,60840
Executive Assistant,Administration / Reception / Secretarial,60880
Executive Officer,Administration / Reception / Secretarial,65760
Executive Personal Assistant,Administration / Reception / Secretarial,66580
Executive Secretary,Administration / Reception / Secretarial,57800
File Clerk,Administration / Reception / Secretarial,35300
Front Desk Attendant,Administration / Reception / Secretarial,49200
Front Desk Coordinator,Administration / Reception / Secretarial,63500
Front Desk Manager,Administration / Reception / Secretarial,84040
Front Desk Receptionist,Administration / Reception / Secretarial,50620
Front Desk Shift Leader,Administration / Reception / Secretarial,60600
Front Office Assistant,Administration / Reception / Secretarial,45000
Front Office Executive,Administration / Reception / Secretarial,64920
Group Services Manager,Administration / Reception / Secretarial,138200
Head Receptionist,Administration / Reception / Secretarial,57620
Inquiry and Admissions Clerk,Administration / Reception / Secretarial,34380
Key Account Assistant,Administration / Reception / Secretarial,60880
Keyboard and Data Entry Operator,Administration / Reception / Secretarial,33520
Leasing Administrator,Administration / Reception / Secretarial,61620
Legal Secretary,Administration / Reception / Secretarial,53160
Librarian,Administration / Reception / Secretarial,66820
Mail Processing Clerk,Administration / Reception / Secretarial,31660
Mail Sorting Clerk,Administration / Reception / Secretarial,29160
Mailroom Clerk,Administration / Reception / Secretarial,31520
Mailroom Manager,Administration / Reception / Secretarial,58440
Management Support Secretary,Administration / Reception / Secretarial,50520
Master Programme Coordinator,Administration / Reception / Secretarial,97300
Medical Receptionist,Administration / Reception / Secretarial,55020
Meeting and Event Assistant,Administration / Reception / Secretarial,60840
Meeting and Event Manager,Administration / Reception / Secretarial,128500
Night Manager,Administration / Reception / Secretarial,73820
Office Administrator,Administration / Reception / Secretarial,77120
Office Assistant,Administration / Reception / Secretarial,36020
Office Automation Clerk,Administration / Reception / Secretarial,58000
Office Clerk,Administration / Reception / Secretarial,41180
Office Coordinator,Administration / Reception / Secretarial,50340
Office Manager,Administration / Reception / Secretarial,96340
Office Services Coordinator,Administration / Reception / Secretarial,73260
Office Supervisor,Administration / Reception / Secretarial,66680
Operations Analyst,Administration / Reception / Secretarial,109460
Operations Clerk,Administration / Reception / Secretarial,57620
Operations Manager,Administration / Reception / Secretarial,143200
Personal Assistant,Administration / Reception / Secretarial,54460
Planning Assistant,Administration / Reception / Secretarial,62100
Process Expert,Administration / Reception / Secretarial,77100
Program Coordinator,Administration / Reception / Secretarial,75040
Programme Assistant,Administration / Reception / Secretarial,67560
Project Administrator,Administration / Reception / Secretarial,88240
Project Coordinator,Administration / Reception / Secretarial,119900
Query Administrator,Administration / Reception / Secretarial,67360
Reception Team Lead,Administration / Reception / Secretarial,68060
Receptionist,Administration / Reception / Secretarial,45600
Records Officer,Administration / Reception / Secretarial,40640
Registry Administrator,Administration / Reception / Secretarial,51900
Registry and Filing Clerk,Administration / Reception / Secretarial,35340
Rental Clerk,Administration / Reception / Secretarial,34120
Schedule Officer,Administration / Reception / Secretarial,35000
Scheduler,Administration / Reception / Secretarial,38780
School Secretary,Administration / Reception / Secretarial,48560
Secretary,Administration / Reception / Secretarial,48160
Service Reception Head,Administration / Reception / Secretarial,58240
Switchboard Operator,Administration / Reception / Secretarial,46720
Technical Program Manager,Administration / Reception / Secretarial,124400
Technical Project Manager,Administration / Reception / Secretarial,127700
Typist,Administration / Reception / Secretarial,41560
Unit Secretary,Administration / Reception / Secretarial,42960
Wayleave Officer,Administration / Reception / Secretarial,35300
Advertising Account Executive,Advertising / Graphic Design / Events,119020
Advertising Account Manager,Advertising / Graphic Design / Events,124400
Advertising Account Planner,Advertising / Graphic Design / Events,64300
Advertising and Promotions Manager,Advertising / Graphic Design / Events,169000
Advertising Coordinator,Advertising / Graphic Design / Events,80480
Advertising Manager,Advertising / Graphic Design / Events,172200
Advertising Operations Manager,Advertising / Graphic Design / Events,180500
Advertising Sales Director,Advertising / Graphic Design / Events,181600
Advertising Strategic Planner,Advertising / Graphic Design / Events,113840
Advertising Team Leader,Advertising / Graphic Design / Events,99220
Animator,Advertising / Graphic Design / Events,74620
Art Director,Advertising / Graphic Design / Events,107580
Art Manager,Advertising / Graphic Design / Events,102020
Artist,Advertising / Graphic Design / Events,80540
Artworker,Advertising / Graphic Design / Events,61620
Assistant Art Director,Advertising / Graphic Design / Events,80640
Audio and Video Equipment Technician,Advertising / Graphic Design / Events,57440
Audio Engineer,Advertising / Graphic Design / Events,72360
Audiosual Technician,Advertising / Graphic Design / Events,61780
Broadcast Administrator,Advertising / Graphic Design / Events,107960
Catering Sales,Advertising / Graphic Design / Events,66940
Catering Trainer,Advertising / Graphic Design / Events,80520
Commercial and Industrial Designer,Advertising / Graphic Design / Events,66000
Conference Organiser,Advertising / Graphic Design / Events,78940
Content and Media Production Lead,Advertising / Graphic Design / Events,123400
CopyWriter,Advertising / Graphic Design / Events,69240
Creative Designer,Advertising / Graphic Design / Events,75220
Creative Director,Advertising / Graphic Design / Events,107680
Designer ,Advertising / Graphic Design / Events,57320
Desktop Publisher,Advertising / Graphic Design / Events,49820
Digital Campaign Manager,Advertising / Graphic Design / Events,112440
Digital Media Manager,Advertising / Graphic Design / Events,128500
Digital Media Strategist,Advertising / Graphic Design / Events,123400
Director of Events,Advertising / Graphic Design / Events,169000
Director of Graphic Design,Advertising / Graphic Design / Events,99080
Director of Social Media Marketing,Advertising / Graphic Design / Events,136200
Events and Promotions Manager,Advertising / Graphic Design / Events,161600
Events Director,Advertising / Graphic Design / Events,180500
Exhibit Designer,Advertising / Graphic Design / Events,84580
Exhibit Display Coordinator,Advertising / Graphic Design / Events,81960
Exhibit Display Manager,Advertising / Graphic Design / Events,106600
Finisher,Advertising / Graphic Design / Events,56060
Graphic Artist,Advertising / Graphic Design / Events,66680
Graphic Design Specialist,Advertising / Graphic Design / Events,75500
Graphic Designer,Advertising / Graphic Design / Events,64560
Graphics Artist,Advertising / Graphic Design / Events,68580
Graphics Design Supervisor,Advertising / Graphic Design / Events,92880
Group Creative Director,Advertising / Graphic Design / Events,108080
Imagery Analyst,Advertising / Graphic Design / Events,62060
Imaging Technologist,Advertising / Graphic Design / Events,61460
Interaction Designer,Advertising / Graphic Design / Events,53320
Media Analyst,Advertising / Graphic Design / Events,80020
Media Executive,Advertising / Graphic Design / Events,111000
Media Planner,Advertising / Graphic Design / Events,87940
Media Production Coordinator,Advertising / Graphic Design / Events,77860
Media Production Manager,Advertising / Graphic Design / Events,138200
Media Project Manager,Advertising / Graphic Design / Events,146200
Media Relations Representative,Advertising / Graphic Design / Events,117100
Media Sales Executive,Advertising / Graphic Design / Events,130400
Meeting and Event Planner,Advertising / Graphic Design / Events,79360
Multimedia Artist,Advertising / Graphic Design / Events,68900
Multimedia Specialist,Advertising / Graphic Design / Events,61460
Photographer,Advertising / Graphic Design / Events,58240
PPC Campaign Manager,Advertising / Graphic Design / Events,111920
Print Production Manager,Advertising / Graphic Design / Events,110340
Product and Brand Manager,Advertising / Graphic Design / Events,157600
Sales Promotion Manager,Advertising / Graphic Design / Events,157600
Search Engine Optimization Specialist (SEO),Advertising / Graphic Design / Events,67800
Sketch Artist,Advertising / Graphic Design / Events,72540
Social Media Executive,Advertising / Graphic Design / Events,138200
Social Media Manager,Advertising / Graphic Design / Events,136100
Social Media Marketing Manager,Advertising / Graphic Design / Events,136100
Social Media Strategist,Advertising / Graphic Design / Events,127700
Special Events Supervisor,Advertising / Graphic Design / Events,96680
Technical Typist,Advertising / Graphic Design / Events,46040
User Experience UX Designer,Advertising / Graphic Design / Events,67320
UX Designer,Advertising / Graphic Design / Events,66820
Aeronautical Engineer,Airlines / Aviation / Aerospace / Defense,114000
Aerospace Engineer,Airlines / Aviation / Aerospace / Defense,137400
Aerospace Technician,Airlines / Aviation / Aerospace / Defense,102380
Air Crew Member,Airlines / Aviation / Aerospace / Defense,65800
Air Crew Officer,Airlines / Aviation / Aerospace / Defense,67120
Air Traffic Assistant,Airlines / Aviation / Aerospace / Defense,63380
Air Traffic Controller,Airlines / Aviation / Aerospace / Defense,114820
Aircraft Assembler,Airlines / Aviation / Aerospace / Defense,54140
Aircraft Body Repairer,Airlines / Aviation / Aerospace / Defense,46160
Aircraft Captain,Airlines / Aviation / Aerospace / Defense,174000
Aircraft Electrician,Airlines / Aviation / Aerospace / Defense,54280
Aircraft Electronics Techician,Airlines / Aviation / Aerospace / Defense,55820
Aircraft Engineer,Airlines / Aviation / Aerospace / Defense,110500
Aircraft Fueler,Airlines / Aviation / Aerospace / Defense,50240
Aircraft Maintenance Engineer,Airlines / Aviation / Aerospace / Defense,101840
Aircraft Maintenance Manager,Airlines / Aviation / Aerospace / Defense,169000
Aircraft Maintenance Supervisor,Airlines / Aviation / Aerospace / Defense,109000
Aircraft Maintenance Technician,Airlines / Aviation / Aerospace / Defense,50020
Aircraft Mechanic,Airlines / Aviation / Aerospace / Defense,57080
Aircraft Pilot,Airlines / Aviation / Aerospace / Defense,185100
Aircraft Pneudraulics Repairer,Airlines / Aviation / Aerospace / Defense,51800
Aircraft Quality Assurance,Airlines / Aviation / Aerospace / Defense,139100
Aircraft Rigging Assembler,Airlines / Aviation / Aerospace / Defense,55940
Aircraft Service Technician,Airlines / Aviation / Aerospace / Defense,50240
Airfield Management Specialist,Airlines / Aviation / Aerospace / Defense,157600
Airfield Operations Specialist,Airlines / Aviation / Aerospace / Defense,127700
Airline Cabin Crew,Airlines / Aviation / Aerospace / Defense,108340
Airline Copilot,Airlines / Aviation / Aerospace / Defense,118800
Airline Pilot,Airlines / Aviation / Aerospace / Defense,174000
Airlines Sales Director,Airlines / Aviation / Aerospace / Defense,208600
Airlines Sales Manager,Airlines / Aviation / Aerospace / Defense,192000
Airlines Structural Assembler,Airlines / Aviation / Aerospace / Defense,48560
Airport Services Agent,Airlines / Aviation / Aerospace / Defense,66260
Airport Services Manager,Airlines / Aviation / Aerospace / Defense,210500
Airport Services Supervisor,Airlines / Aviation / Aerospace / Defense,119860
Assistant Aircraft Mechanic,Airlines / Aviation / Aerospace / Defense,45580
Aviation Analyst,Airlines / Aviation / Aerospace / Defense,139100
Aviation Inspector,Airlines / Aviation / Aerospace / Defense,116380
Aviation Manager,Airlines / Aviation / Aerospace / Defense,228000
Aviation Operations Controller,Airlines / Aviation / Aerospace / Defense,115080
Aviation Resources Manager,Airlines / Aviation / Aerospace / Defense,191600
Aviation Safety Assistant,Airlines / Aviation / Aerospace / Defense,61780
Aviation Safety Manager,Airlines / Aviation / Aerospace / Defense,196800
Aviation Safety Officer,Airlines / Aviation / Aerospace / Defense,113220
Aviation Technician,Airlines / Aviation / Aerospace / Defense,52460
Cargo and Freight Agent,Airlines / Aviation / Aerospace / Defense,48820
Cargo Executive,Airlines / Aviation / Aerospace / Defense,102240
Chief Pilot,Airlines / Aviation / Aerospace / Defense,180300
First Officer,Airlines / Aviation / Aerospace / Defense,77340
Fleet Controller,Airlines / Aviation / Aerospace / Defense,164200
Fleet Management Officer,Airlines / Aviation / Aerospace / Defense,72740
Flight Attendant,Airlines / Aviation / Aerospace / Defense,74060
Flight Planner,Airlines / Aviation / Aerospace / Defense,97300
Flight Scheduler,Airlines / Aviation / Aerospace / Defense,85760
Flight Simulation Engineer,Airlines / Aviation / Aerospace / Defense,94400
Freight and Cargo Inspector,Airlines / Aviation / Aerospace / Defense,79600
Helicopter Pilot,Airlines / Aviation / Aerospace / Defense,112660
Loading Bridge Operator,Airlines / Aviation / Aerospace / Defense,44140
Pilot,Airlines / Aviation / Aerospace / Defense,172200
Ramp Agent,Airlines / Aviation / Aerospace / Defense,45260
Reservations Sales Agent,Airlines / Aviation / Aerospace / Defense,59240
Safety and Quality Specialist,Airlines / Aviation / Aerospace / Defense,106600
Test Pilot,Airlines / Aviation / Aerospace / Defense,128500
Architect,Architecture,123400
Architectural Designer,Architecture,113220
Architectural Drafter,Architecture,51100
Architectural Manager,Architecture,187500
Architectural Technician,Architecture,72420
Architectural Technologist,Architecture,66180
Architecture Consultant,Architecture,174000
Architecture Estimating Manager,Architecture,146200
Architecture Specifications Writer,Architecture,45600
Assistant Architectural Manager,Architecture,164200
CAD Drafter,Architecture,50980
CAD Manager,Architecture,118200
Design and Decoration Assistant,Architecture,54700
Design Manager,Architecture,172200
Drafter,Architecture,48740
Drafting Supervisor,Architecture,87880
Facilities and Project Manager,Architecture,172400
Facility Planner,Architecture,91580
Interior Architect,Architecture,103440
Interior Decorator,Architecture,92720
Interior Design Assistant,Architecture,44720
Interior Designer,Architecture,104920
Kitchen Designer,Architecture,61840
Landscape Architect,Architecture,148300
Landscape Artist,Architecture,86520
Landscaper,Architecture,70840
Mapping Technician,Architecture,48820
Mechanical Drafter,Architecture,59480
Photogrammetrist,Architecture,53600
After Sales Automotive Manager,Automotive,108120
Alignment Technician,Automotive,36800
Auto Damage Adjuster,Automotive,44180
Auto Detailer,Automotive,41980
Auto Parts Manager,Automotive,130400
Automotive Assembler,Automotive,41660
Automotive Assembly Manager,Automotive,115260
Automotive Assembly Operator,Automotive,40560
Automotive Body Repairer,Automotive,36800
Automotive Branch Manager,Automotive,159500
Automotive Central Planner,Automotive,55020
Automotive Electrician,Automotive,42960
Automotive Engineering Technician,Automotive,55820
Automotive Estimating Manager,Automotive,104440
Automotive Estimator,Automotive,82200
Automotive General Manager,Automotive,187500
Automotive Inventory Officer,Automotive,35000
Automotive Manager,Automotive,187300
Automotive Master Mechanic,Automotive,58860
Automotive Parts Supplier,Automotive,60340
Automotive Project Engineer,Automotive,69240
Automotive Project Manager,Automotive,130400
Automotive Purchase Manager,Automotive,148300
Automotive Sales,Automotive,79120
Automotive Service Technician,Automotive,37800
Automotive Technician,Automotive,39080
Automotive Technician,Automotive,41900
Automotive Test Engineer,Automotive,71020
Automotive Warranty Administrator,Automotive,68900
Automotive Warranty Clerk,Automotive,44140
Car Parts and Accessories Fitter,Automotive,34960
Car Salesman,Automotive,79260
Damage Appraiser,Automotive,57900
Diesel Engine Specialist,Automotive,53380
Job Card Opener,Automotive,39160
Lube Technician,Automotive,29600
Master File Maintenance,Automotive,52180
Materials Planner,Automotive,56640
Mechanic,Automotive,36700
Motor Vehicle Inspector,Automotive,58240
Motorcycle Mechanic,Automotive,42400
Service Advisor,Automotive,73260
Service Manager,Automotive,115260
Stock Controller,Automotive,49200
Technical Advisor,Automotive,77400
Tire Retreader,Automotive,38180
Used Car Manager,Automotive,103140
Vehicle Body Maker,Automotive,47180
Vehicle Examiner,Automotive,54180
Vehicle Painter,Automotive,34980
Vehicle Trimmer,Automotive,35260
Welder,Automotive,31340
AML Analyst,Banking,164200
Assistant Bank Branch Manager,Banking,138200
Assistant Bank Manager,Banking,180500
ATM Manager,Banking,148300
ATM Service Technician,Banking,45060
Bank Accounts Analyst,Banking,61460
Bank Accounts Collector,Banking,38180
Bank Accounts Controller,Banking,76280
Bank Accounts Executive,Banking,111700
Bank Accounts Manager,Banking,139100
Bank Auditing Manager,Banking,137400
Bank Branch Manager,Banking,196800
Bank Branch Operations Coordinator,Banking,80920
Bank Clerk,Banking,38140
Bank Client Service Associate,Banking,52460
Bank Collector,Banking,37740
Bank Compliance Specialist,Banking,95980
Bank Manager,Banking,218900
Bank Operational Risk Manager,Banking,207700
Bank Operations Head,Banking,216800
Bank Operations Officer,Banking,89120
Bank Operations Specialist,Banking,134600
Bank Process Manager,Banking,129000
Bank Product Manager ,Banking,148300
Bank Programme Manager,Banking,152100
Bank Project Manager,Banking,172200
Bank Propositions Manager,Banking,152300
Bank Quantitative Analyst,Banking,109720
Bank Regional Manager,Banking,228000
Bank Regional Risk Officer,Banking,109340
Bank Relationship Manager,Banking,161600
Bank Relationship Officer,Banking,78160
Bank Teller,Banking,36720
Banker,Banking,80840
Banking Business Analyst,Banking,115640
Banking Business Development Officer,Banking,71280
Banking Business Planning Executive,Banking,172200
Banking Product Manager,Banking,136200
Banking Reference Data Manager,Banking,119900
Banking Risk Analyst,Banking,111920
Banking Technical Analyst,Banking,64720
Bankruptcy Coordinator,Banking,84180
Bill and Account Collector,Banking,42400
Budget Analyst,Banking,110380
Capital Risk Manager,Banking,209500
Cards Marketing Manager,Banking,138800
Cash Management Manager,Banking,197600
Check Processing Manager,Banking,142300
Commercial Vault Associate,Banking,110500
Corporate Banker,Banking,82200
Corporate Dealer,Banking,125100
Credit Analyst,Banking,84880
Credit and Collections Manager,Banking,159400
Credit Card Fraud Investigator,Banking,116740
Credit Portfolio Manager,Banking,207800
Credit Risk Analyst,Banking,123400
Credit Risk Associate,Banking,125100
Direct Bank Sales Representative,Banking,78620
Exchange Control Consultant,Banking,115600
Executive Account Analyst,Banking,116420
Financial Bank Planning Consultant,Banking,142300
Financial Banking Analysis Manager,Banking,172200
Financial Banking Assistant,Banking,51900
Financial Banking Systems Manager,Banking,161600
Foreign Exchange Manager,Banking,169000
Fraud Analyst,Banking,127700
Fraud Detection Associate,Banking,80760
Fraud Detection Manager,Banking,181600
Fraud Detection Supervisor,Banking,96160
Internal Bank Audit Manager,Banking,207800
Internal Bank Auditor,Banking,105440
Internal Private Banker,Banking,83420
International Banking Manager,Banking,239300
Investment Banking Analyst,Banking,159500
Loan Analyst,Banking,106440
Loan Area Manager,Banking,137400
Loan Audit Team Leader,Banking,125700
Loan Branch Manager,Banking,123400
Loan Business Development Officer,Banking,69400
Loan Clerk,Banking,41980
Loan Collection and Recovery Manager,Banking,142300
Loan Collection Manager,Banking,130400
Loan Collector,Banking,35420
Loan Examiner,Banking,48740
Loan Officer,Banking,42040
Loan Processing Manager,Banking,125700
Loan Processor,Banking,51400
Loan Quality Assurance Auditor,Banking,112660
Loan Quality Assurance Manager,Banking,136100
Loan Quality Assurance Representative,Banking,86740
Loan Review Manager,Banking,125700
Loan Team Leader,Banking,119900
Loans Manager,Banking,151800
Mortgage Advisor,Banking,79500
Mortgage Collection Manager,Banking,130400
Mortgage Collector,Banking,36160
Mortgage Credit Analyst,Banking,61780
Mortgage Credit Manager,Banking,125700
Mortgage Development Manager,Banking,142300
Mortgage Document Reviewer,Banking,52180
Mortgage Funding Manager,Banking,150000
Mortgage Operations Manager,Banking,207700
Mortgage Payment Processing Clerk,Banking,45580
